eta f fp fpp g gp
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.693291192389227873e-01 0.000000000000000000e+00 4.693286499104646348e-01
1.835466069163140879e-04 1.334295038523148575e-08 8.614376736317622141e-05 4.693291192379528409e-01 8.614368121953019908e-05 4.693286499094946884e-01
3.670932138326281759e-04 4.211192779803385155e-08 1.722875347258313481e-04 4.693291192347400775e-01 1.722873624385393306e-04 4.693286499062819250e-01
2.202559282995768947e-03 1.688179564488622576e-06 1.033725206442931421e-03 4.693291180024994902e-01 1.033724172719181159e-03 4.693286486740426144e-01
4.038025352158909446e-03 4.880609657321678655e-06 1.895162872068453623e-03 4.693291142621572876e-01 1.895160976908251025e-03 4.693286449337040755e-01
1.021497696878813713e-02 2.623559497089551052e-05 4.794185923938264725e-03 4.693290647450267805e-01 4.794181129759094752e-03 4.693285954166231400e-01
1.639192858541736394e-02 6.496653647810511851e-05 7.693208369482030899e-03 4.693289272433165404e-01 7.693200676284499620e-03 4.693284579150504010e-01
2.256888020204659076e-02 1.214531222294453194e-04 1.059222951318155442e-02 4.693286521871288808e-01 1.059221892096696115e-02 4.693281828591377991e-01
3.962666701904818400e-02 3.704583481145071601e-04 1.859791770439753536e-02 4.693265978237571301e-01 1.859789910650602382e-02 4.693261284978204606e-01
5.668445383604978072e-02 7.559592472800341807e-04 2.660354705249269591e-02 4.693219820010483545e-01 2.660352044898312007e-02 4.693215126797274928e-01
7.374224065305137743e-02 1.278021607456942231e-03 3.460906515234486724e-02 4.693137408403157407e-01 3.460903054332847145e-02 4.693132715272360644e-01
1.804438321147691648e-01 7.641478586742167164e-03 8.467065164342771344e-02 4.690732929061504630e-01 8.467056697289533640e-02 4.690728238335183375e-01
2.871454235764869800e-01 1.934339541819750721e-02 1.346792076048488329e-01 4.683722414276047519e-01 1.346790729258309782e-01 4.683717730560231218e-01
3.938470150382047952e-01 3.637451236302138152e-02 1.845724458456058370e-01 4.669583414770409058e-01 1.845722612734200518e-01 4.669578745193572744e-01
6.540880708517416986e-01 1.001023472730918906e-01 3.051222220179330979e-01 4.590234735569483360e-01 3.051219168961409323e-01 4.590230145341214762e-01
9.143291266652786575e-01 1.948049230015573563e-01 4.224936892093082430e-01 4.421335746227970653e-01 4.224932667162142330e-01 4.421331324898452597e-01
1.174570182478815727e+00 3.193443050282401829e-01 5.340917720685320891e-01 4.139798601559686042e-01 5.340912379775123453e-01 4.139794461766916345e-01
1.434811238292352797e+00 4.718443921958008214e-01 6.368852720976442283e-01 3.739417867653260230e-01 6.368846352132693234e-01 3.739414128240659552e-01
1.746160382095282904e+00 6.872967968108529835e-01 7.442360477844179867e-01 3.126395151088540159e-01 7.442353035494185809e-01 3.126392024697792205e-01
2.057509525898213010e+00 9.331382598184390087e-01 8.310171603909931592e-01 2.429793673738905313e-01 8.310163293750035818e-01 2.429791243948654644e-01
2.368858669701142894e+00 1.202648839359735877e+00 8.958791727708120822e-01 1.739888700361540974e-01 8.958782768929014484e-01 1.739886960475291733e-01
2.588914453481446998e+00 1.403662732313277761e+00 9.292343817810952977e-01 1.305626105948325677e-01 9.292334525480435703e-01 1.305624800323307855e-01
2.808970237261751102e+00 1.610989477659885871e+00 9.537185213924365135e-01 9.374653355932763277e-02 9.537175676752966957e-01 9.374643981276598037e-02
3.029026021042055206e+00 1.822871387395564202e+00 9.709333580990053836e-01 6.428922343626507219e-02 9.709323871670374473e-01 6.428915914696232969e-02
3.249081804822359310e+00 2.037891401975628458e+00 9.824945438760949168e-01 4.206014926838524959e-02 9.824935613829182124e-01 4.206010720817716930e-02
3.469137588602663413e+00 2.254969639071943366e+00 9.898953341703188302e-01 2.624882471436875905e-02 9.898943442763259437e-01 2.624879846551351342e-02
3.682638578390517115e+00 2.466819192185782939e+00 9.943127953200562308e-01 1.587445576132723996e-02 9.943118010085901792e-01 1.587443988684705126e-02
3.896139568178370816e+00 2.679407682384638889e+00 9.969361117717552290e-01 9.165104741967047136e-03 9.969351148369685056e-01 9.165095576834961580e-03
4.046431467046302188e+00 2.829330029858489137e+00 9.980681069177796960e-01 6.054363867320986838e-03 9.980671088509942557e-01 6.054357812936444518e-03
4.196723365914233561e+00 2.979392101687542649e+00 9.988062505889430120e-01 3.911265018383341431e-03 9.988052517840113609e-01 3.911261107107573756e-03
4.347015264782164934e+00 3.129543283718748459e+00 9.992775873832602240e-01 2.471840774519596350e-03 9.992765881069913814e-01 2.471838302673616278e-03
4.497307163650096307e+00 3.279750477631060868e+00 9.995729624411896497e-01 1.526983129294393103e-03 9.995719628695457493e-01 1.526981602306765398e-03
4.647599062518027679e+00 3.429992826720559052e+00 9.997539884388052522e-01 9.212207210662233785e-04 9.997529886861351578e-01 9.212197998414213161e-04
4.797890961385959052e+00 3.580256842916200721e+00 9.998618578992832795e-01 5.431603566112060567e-04 9.998608580387435829e-01 5.431598134490219897e-04
4.941039841574875524e+00 3.723390932810056064e+00 9.999223344471920294e-01 3.217848552582879993e-04 9.999213345261755981e-01 3.217845334733451237e-04
5.084188721763791996e+00 3.866531489634563723e+00 9.999579645764720137e-01 1.866791476894951341e-04 9.999569646198256390e-01 1.866789610104559909e-04
5.227337601952708468e+00 4.009675829778387879e+00 9.999786466553335362e-01 1.058215137653545617e-04 9.999776466780052608e-01 1.058214079434659970e-04
5.370486482141624940e+00 4.152822464421272564e+00 9.999903384446874322e-01 5.857426437908485294e-05 9.999893384556671760e-01 5.857420580422999332e-05
5.513635362330541412e+00 4.295970443005622919e+00 9.999967259048354595e-01 3.171719587227242318e-05 9.999957259094277573e-01 3.171716415461814977e-05
5.655950516756698576e+00 4.438285455895576881e+00 9.999999999986821653e-01 1.713228923264077552e-05 9.999989999999999712e-01 1.713227210024745588e-05
