sr b Me
0.000000000000000000e+00 8.997446622200934030e+01 2.280939290290835419e+00
1.730059066800773454e-04 8.994241343226268270e+01 2.280940548150485192e+00
3.726738345725016163e-04 8.987374959180071698e+01 2.280946507794078038e+00
6.152292638422658666e-04 8.979778335278228951e+01 2.280958288533788902e+00
8.894652282996977051e-04 8.971702975066062891e+01 2.280976786859787442e+00
1.189139126885447543e-03 8.963258381173753264e+01 2.281002717526249057e+00
1.510386365441640337e-03 8.954509643221150839e+01 2.281036684137847548e+00
1.850555034775257365e-03 8.945500648189506876e+01 2.281079214701480673e+00
2.207692640943578408e-03 8.936263268272750793e+01 2.281130781777511718e+00
2.580289466982386287e-03 8.926821834778750997e+01 2.281191815141268009e+00
2.967135845300779111e-03 8.917195606141028463e+01 2.281262710325394849e+00
3.367236054725828050e-03 8.907400250919344842e+01 2.281343834689834704e+00
3.779753026301434834e-03 8.897448796800561865e+01 2.281435531908720726e+00
4.203971048557933639e-03 8.887352268084482887e+01 2.281538125391827432e+00
4.639269603547464295e-03 8.877120130809556997e+01 2.281651920960001245e+00
5.085104411164223341e-03 8.866760613557194404e+01 2.281777208981120797e+00
5.540993322884119748e-03 8.856280944842572467e+01 2.281914266105347089e+00
6.006505583920797656e-03 8.845687532756426208e+01 2.282063356695894996e+00
6.481253499506863143e-03 8.834986103545119818e+01 2.282224734023952983e+00
6.964885857613835503e-03 8.824181810315421615e+01 2.282398641277790130e+00
7.457082661231645253e-03 8.813279319563078218e+01 2.282585312423317969e+00
7.957550854565103443e-03 8.802282880947690558e+01 2.282784972944345903e+00
8.466020815554161846e-03 8.791196384211200154e+01 2.282997840484283447e+00
8.982243447583516255e-03 8.780023406092146843e+01 2.283224125406265514e+00
9.505987745624626742e-03 8.768767249356906746e+01 2.283464031285113549e+00
1.003703874230981244e-02 8.757430975548597019e+01 2.283717755341900801e+00
1.057519576140195441e-02 8.746017432677508907e+01 2.283985488829755717e+00
1.112027092230859215e-02 8.734529278800133056e+01 2.284267417378030185e+00
1.167208785138022613e-02 8.722969002227624458e+01 2.284563721300604922e+00
1.223048056487841678e-02 8.711338938949124611e+01 2.284874575873198754e+00
1.279529249549674931e-02 8.699641287736838535e+01 2.285200151583699490e+00
1.336637563972827188e-02 8.687878123308377099e+01 2.285540614358906097e+00
1.394358980759734246e-02 8.676051407850833641e+01 2.285896125770556786e+00
1.452680195960175634e-02 8.664163001155225174e+01 2.286266843223090373e+00
1.511588561835490278e-02 8.652214669565786664e+01 2.286652920125220589e+00
1.571072034453450603e-02 8.640208093913295784e+01 2.287054506047133007e+00
1.631119126845168368e-02 8.628144876573340127e+01 2.287471746864849997e+00
1.691718866994028000e-02 8.616026547767457089e+01 2.287904784893121768e+00
1.752860760039929092e-02 8.603854571206409219e+01 2.288353759008011856e+00
1.814534754175250314e-02 8.591630349159606794e+01 2.288818804760206049e+00
1.876731209785958629e-02 8.579355227022000463e+01 2.289300054479965763e+00
1.939440871455271748e-02 8.567030497439387204e+01 2.289797637374494599e+00
2.002654842500780838e-02 8.554657404044340296e+01 2.290311679618449947e+00
2.066364561760790017e-02 8.542237144847722163e+01 2.290842304438211130e+00
2.130561782383505118e-02 8.529770875324585688e+01 2.291389632190466763e+00
2.195238552404727220e-02 8.517259711228136609e+01 2.291953780435611598e+00
2.260387196926978357e-02 8.504704731161054099e+01 2.292534864006412487e+00
2.326000301736226572e-02 8.492106978929707850e+01 2.293132995072320934e+00
2.392070698212328886e-02 8.479467465703685036e+01 2.293748283199821270e+00
2.458591449406426557e-02 8.466787172000245221e+01 2.294380835409101760e+00
2.525555837173321452e-02 8.454067049511020571e+01 2.295030756227374180e+00
2.592957350259646881e-02 8.441308022786287779e+01 2.295698147739098083e+00
2.660789673259766203e-02 8.428510990790259427e+01 2.296383109633328701e+00
2.729046676360986218e-02 8.415676828339474014e+01 2.297085739248443392e+00
2.797722405808134721e-02 8.402806387434959845e+01 2.297806131614420710e+00
2.866811075024927255e-02 8.389900498497662795e+01 2.298544379492861278e+00
2.936307056336058888e-02 8.376959971515699976e+01 2.299300573414917448e+00
3.006204873239651590e-02 8.363985597111023651e+01 2.300074801717290729e+00
3.076499193184732348e-02 8.350978147532396179e+01 2.300867150576421327e+00
3.147184820812882339e-02 8.337938377580753979e+01 2.301677704041015460e+00
3.218256691627135319e-02 8.324867025472586590e+01 2.302506544063013472e+00
3.289709866054704723e-02 8.311764813646298933e+01 2.303353750527125765e+00
3.361539523873272733e-02 8.298632449516044574e+01 2.304219401279020474e+00
3.433740958973305335e-02 8.285470626177220765e+01 2.305103572152261915e+00
3.506309574431396708e-02 8.272280023067268928e+01 2.306006336994085526e+00
3.579240877871846249e-02 8.259061306585194018e+01 2.306927767690097664e+00
3.652530477095662642e-02 8.245815130672856696e+01 2.307867934187958436e+00
3.726174075958001847e-02 8.232542137360891843e+01 2.308826904520127954e+00
3.800167470476650822e-02 8.219242957281760198e+01 2.309804744825733280e+00
3.874506545155620429e-02 8.205918210152293568e+01 2.310801519371620039e+00
3.949187269509230047e-02 8.192568505227890796e+01 2.311817290572644179e+00
4.024205694773259206e-02 8.179194441730295750e+01 2.312852119011249652e+00
4.099557950790799071e-02 8.165796609250830329e+01 2.313906063456381279e+00
4.175240243061437151e-02 8.152375588130614403e+01 2.314979180881789222e+00
4.251248849943277397e-02 8.138931949819451006e+01 2.316071526483748588e+00
4.327580119998103436e-02 8.125466257214655741e+01 2.317183153698245679e+00
4.404230469470739318e-02 8.111979064981186127e+01 2.318314114217665090e+00
4.481196379894324122e-02 8.098470919854270278e+01 2.319464458007010066e+00
4.558474395813816304e-02 8.084942360925585092e+01 2.320634233319692541e+00
4.636061122620631358e-02 8.071393919914112303e+01 2.321823486712908835e+00
4.713953224491794491e-02 8.057826121422515087e+01 2.323032263062658309e+00
4.792147422427476405e-02 8.044239483179941885e+01 2.324260605578394756e+00
4.870640492381216047e-02 8.030634516272122880e+01 2.325508555817365153e+00
4.949429263477510971e-02 8.017011725359455454e+01 2.326776153698649097e+00
5.028510616311827885e-02 8.003371608883841759e+01 2.328063437516906475e+00
5.107881481328425261e-02 7.989714659264882357e+01 2.329370443955883108e+00
5.187538837271680331e-02 7.976041363086028468e+01 2.330697208101669027e+00
5.267479709706889002e-02 7.962352201271332319e+01 2.332043763455736496e+00
5.347701169606797200e-02 7.948647649253322811e+01 2.333410141947776406e+00
5.428200332000320677e-02 7.934928177132373150e+01 2.334796373948348602e+00
5.508974354680180874e-02 7.921194249828198508e+01 2.336202488281355460e+00
5.590020436966352396e-02 7.907446327223838978e+01 2.337628512236356926e+00
5.671335818522440370e-02 7.893684864302483106e+01 2.339074471580754544e+00
5.752917778222252365e-02 7.879910311277622270e+01 2.340540390571823171e+00
5.834763633064032895e-02 7.866123113716818693e+01 2.342026291968634322e+00
5.916870737129942964e-02 7.852323712659487853e+01 2.343532197043866283e+00
5.999236480588537868e-02 7.838512544728884279e+01 2.345058125595516518e+00
6.081858288738119234e-02 7.824690042238755439e+01 2.346604095958527036e+00
6.164733621088953203e-02 7.810856633294805818e+01 2.348170125016323606e+00
6.247859970482481234e-02 7.797012741891300891e+01 2.349756228212292353e+00
6.331234862245736783e-02 7.783158788003090933e+01 2.351362419561177752e+00
6.414855853379292094e-02 7.769295187673171199e+01 2.352988711660443322e+00
6.498720531777150977e-02 7.755422353096109589e+01 2.354635115701566583e+00
6.582826515477097074e-02 7.741540692697518011e+01 2.356301641481306053e+00
6.667171451940073768e-02 7.727650611209720921e+01 2.357988297412919376e+00
6.751753017357259301e-02 7.713752509743883934e+01 2.359695090537356599e+00
6.836568915983584627e-02 7.699846785858662201e+01 2.361422026534432561e+00
6.921616879496467201e-02 7.685933833625736611e+01 2.363169109733969098e+00
7.006894666378653269e-02 7.672014043692125540e+01 2.364936343126925689e+00
7.092400061324077853e-02 7.658087803339643074e+01 2.366723728376522562e+00
7.178130874665711314e-02 7.644155496541533523e+01 2.368531265829351806e+00
7.264084941824454356e-02 7.630217504016445673e+01 2.370358954526484041e+00
7.350260122778121130e-02 7.616274203279881760e+01 2.372206792214579529e+00
7.436654301549668056e-02 7.602325968693224922e+01 2.374074775356991296e+00
7.523265385713823195e-02 7.588373171510500015e+01 2.375962899144881124e+00
7.610091305921329319e-02 7.574416179922837955e+01 2.377871157508351985e+00
7.697130015440052653e-02 7.560455359100980388e+01 2.379799543127566253e+00
7.784379489712234257e-02 7.546491071235757886e+01 2.381748047443894123e+00
7.871837725927215146e-02 7.532523675576581468e+01 2.383716660671078014e+00
7.959502742608973169e-02 7.518553528468244451e+01 2.385705371806396080e+00
8.047372579217877686e-02 7.504580983385933735e+01 2.387714168641860368e+00
8.135445295766030593e-02 7.490606390968632411e+01 2.389743037775417633e+00
8.223718972445694109e-02 7.476630099050922240e+01 2.391791964622181688e+00
8.312191709270201623e-02 7.462652452693335192e+01 2.393860933425674187e+00
8.400861625726901982e-02 7.448673794211245536e+01 2.395949927269099611e+00
8.489726860441604295e-02 7.434694463202399106e+01 2.398058928086630459e+00
8.578785570854077780e-02 7.420714796573214755e+01 2.400187916674716426e+00
8.668035932904170904e-02 7.406735128563788351e+01 2.402336872703416226e+00
8.757476140728093217e-02 7.392755790771757063e+01 2.404505774727749845e+00
8.847104406364490747e-02 7.378777112175001207e+01 2.406694600199086764e+00
8.936918959469891677e-02 7.364799419153389692e+01 2.408903325476523527e+00
9.026918047043176740e-02 7.350823035509330339e+01 2.411131925838327916e+00
9.117099933158710756e-02 7.336848282487643758e+01 2.413380375493344943e+00
9.207462898707778620e-02 7.322875478794176729e+01 2.415648647592487208e+00
9.298005241148026012e-02 7.308904940613668089e+01 2.417936714240228380e+00
9.388725274260574516e-02 7.294936981626990757e+01 2.420244546506066019e+00
9.479621327914505846e-02 7.280971913027447329e+01 2.422572114436048807e+00
9.570691747838465380e-02 7.267010043536122055e+01 2.424919387064339293e+00
9.661934895399053314e-02 7.253051679416729769e+01 2.427286332424766879e+00
9.753349147385795281e-02 7.239097124489894952e+01 2.429672917562375023e+00
9.844932895802396833e-02 7.225146680146622202e+01 2.432079108545012858e+00
9.936684547664065281e-02 7.211200645361086004e+01 2.434504870474951232e+00
1.002860252480066022e-01 7.197259316702934484e+01 2.436950167500497866e+00
1.012068526366544374e-01 7.183322988349237903e+01 2.439414962827592070e+00
1.021293121514921798e-01 7.169391952095553222e+01 2.441899218731468313e+00
1.030533884439965159e-01 7.155466497366658984e+01 2.444402896568302008e+00
1.039790663064559251e-01 7.141546911227003136e+01 2.446925956786837553e+00
1.049063306702616716e-01 7.127633478390532673e+01 2.449468358940049217e+00
1.058351666042450789e-01 7.113726481229998910e+01 2.452030061696822028e+00
1.067655593130591163e-01 7.099826199786019743e+01 2.454611022853618429e+00
1.076974941356027005e-01 7.085932911775877585e+01 2.457211199346126307e+00
1.086309565434860902e-01 7.072046892601919410e+01 2.459830547260909217e+00
1.095659321395359015e-01 7.058168415359332926e+01 2.462469021847121020e+00
1.105024066563380508e-01 7.044297750843945494e+01 2.465126577528142349e+00
1.114403659548173775e-01 7.030435167559735987e+01 2.467803167913232176e+00
1.123797960228525572e-01 7.016580931726022641e+01 2.470498745809166508e+00
1.133206829739248078e-01 7.002735307284206101e+01 2.473213263231912151e+00
1.142630130457993054e-01 6.988898555904543741e+01 2.475946671418242762e+00
1.152067725992380054e-01 6.975070936992629811e+01 2.478698920837360653e+00
1.161519481167426482e-01 6.961252707695678055e+01 2.481469961202491525e+00
1.170985262013269357e-01 6.947444122908582642e+01 2.484259741482488071e+00
1.180464935753165745e-01 6.933645435279686353e+01 2.487068209913431804e+00
1.189958370791763809e-01 6.919856895216847192e+01 2.489895314010130090e+00
1.199465436703633509e-01 6.906078750892916673e+01 2.492741000577676225e+00
1.208986004222045163e-01 6.892311248251090205e+01 2.495605215722994430e+00
1.218519945227990592e-01 6.878554631010368325e+01 2.498487904866312004e+00
1.228067132739433520e-01 6.864809140670990928e+01 2.501389012752587515e+00
1.237627440900784664e-01 6.851075016519426697e+01 2.504308483462984736e+00
1.247200744972588732e-01 6.837352495633471960e+01 2.507246260426285733e+00
1.256786921321420003e-01 6.823641812887383651e+01 2.510202286430234242e+00
1.266385847409974841e-01 6.809943200956703890e+01 2.513176503632915892e+00
1.275997401787356544e-01 6.796256890323300581e+01 2.516168853574034081e+00
1.285621464079542697e-01 6.782583109280139411e+01 2.519179277186206267e+00
1.295257914980031400e-01 6.768922083936060119e+01 2.522207714806209200e+00
