sr b Me
0.000000000000000000e+00 8.999999476441352897e+01 2.826841859248063749e+00
4.631730080208378919e-04 8.991444488791049139e+01 2.826845475643276373e+00
9.977717470791341772e-04 8.980698629361371843e+01 2.826860265321770260e+00
1.647205556890129390e-03 8.968933325264295320e+01 2.826889543631885271e+00
2.381464065280466599e-03 8.956453045464412810e+01 2.826935551786202261e+00
3.183829599941786354e-03 8.943412851079735049e+01 2.827000067441892472e+00
4.043951843025499725e-03 8.929908610364009292e+01 2.827084591687467174e+00
4.954727363408238314e-03 8.916006123637195913e+01 2.827190437395258105e+00
5.910925224319146624e-03 8.901753662803369593e+01 2.827318779141857252e+00
6.908499793631224344e-03 8.887188325554610913e+01 2.827470684566231185e+00
7.944208576616618514e-03 8.872339620941394855e+01 2.827647135523888355e+00
9.015381672082815878e-03 8.857231654826510692e+01 2.827849043113634053e+00
1.011977372372365076e-02 8.841884541872448722e+01 2.828077258778793901e+00
1.125546406723326731e-02 8.826315360472119664e+01 2.828332582765386238e+00
1.242078668104009895e-02 8.810538822832843664e+01 2.828615770729124623e+00
1.361427943764866033e-02 8.794567759700697707e+01 2.828927539003578406e+00
1.483464633944484717e-02 8.778413480065933072e+01 2.829268568873809730e+00
1.608072877343866280e-02 8.762086043961011228e+01 2.829639510094435373e+00
1.735148320298650002e-02 8.745594473263207647e+01 2.830040983822490475e+00
1.864596356228217025e-02 8.728946917272509154e+01 2.830473585089400945e+00
1.996330715708770354e-02 8.712150784647295154e+01 2.830937884904654034e+00
2.130272322657128514e-02 8.695212849878610939e+01 2.831434432061359363e+00
2.266348355687786489e-02 8.678139340196736384e+01 2.831963754697734093e+00
2.404491469893849445e-02 8.660936007231913436e+01 2.832526361656727332e+00
2.544639145649142675e-02 8.643608186648897629e+01 2.833122743677155775e+00
2.686733139130014977e-02 8.626160848188487762e+01 2.833753374443059414e+00
2.830719015136128752e-02 8.608598637978704460e+01 2.834418711512852518e+00
2.976545747123086200e-02 8.590925914558572174e+01 2.835119197145863357e+00
3.124165372597039608e-02 8.573146779744344315e+01 2.835855259040769738e+00
3.273532694470115273e-02 8.555265105231706002e+01 2.836627310997920759e+00
3.424605020849015580e-02 8.537284555647087814e+01 2.837435753515595405e+00
3.577341937177743597e-02 8.519208608622075474e+01 2.838280974328641904e+00
3.731705105786382176e-02 8.501040572356478719e+01 2.839163348896645900e+00
3.887658088788877031e-02 8.482783601050532241e+01 2.840083240847692370e+00
4.045166190980588328e-02 8.464440708519200030e+01 2.841041002382959757e+00
4.204196319953122651e-02 8.446014780247733711e+01 2.842036974646606762e+00
4.364716861100968043e-02 8.427508584104299416e+01 2.843071488064825125e+00
4.526697565565623166e-02 8.408924779890415380e+01 2.844144862657431272e+00
4.690109449466151742e-02 8.390265927881409880e+01 2.845257408324931792e+00
4.854924703014428661e-02 8.371534496485668342e+01 2.846409425113613167e+00
5.021116608319512592e-02 8.352732869132098870e+01 2.847601203460933483e+00
5.188659464856872072e-02 8.333863350479353471e+01 2.848833024423196303e+00
5.357528521721382359e-02 8.314928172026854725e+01 2.850105159887255102e+00
5.527699915903103861e-02 8.295929497196708269e+01 2.851417872767838979e+00
5.699150615926203145e-02 8.276869425946050285e+01 2.852771417191858117e+00
5.871858370277155403e-02 8.257749998961584481e+01 2.854166038670959082e+00
6.045801660121277732e-02 8.238573201481244723e+01 2.855601974263415332e+00
6.220959655868957966e-02 8.219340966782307589e+01 2.857079452726370317e+00
6.397312177206258832e-02 8.200055179370330904e+01 2.858598694659317374e+00
6.574839656250416886e-02 8.180717677899146167e+01 2.860159912639626878e+00
6.753523103530381655e-02 8.161330257848507586e+01 2.861763311350848493e+00
6.933344076526734567e-02 8.141894673982929476e+01 2.863409087704458234e+00
7.114284650535053489e-02 8.122412642612529510e+01 2.865097430955637847e+00
7.296327391642704052e-02 8.102885843674359023e+01 2.866828522813623881e+00
7.479455331631626458e-02 8.083315922650690766e+01 2.868602537547153997e+00
7.663651944639432445e-02 8.063704492338951013e+01 2.870419642085409340e+00
7.848901125428575654e-02 8.044053134486395606e+01 2.872279996114913914e+00
8.035187169128596429e-02 8.024363401301333454e+01 2.874183752172733808e+00
8.222494752329892465e-02 8.004636816851436265e+01 2.876131055736326214e+00
8.410808915419500098e-02 7.984874878358647265e+01 2.878122045310367305e+00
8.600115046059822466e-02 7.965079057399265139e+01 2.880156852510820098e+00
8.790398863720697009e-02 7.945250801016938169e+01 2.882235602146530518e+00
8.981646405183517368e-02 7.925391532755564583e+01 2.884358412298580365e+00
9.173844010943599248e-02 7.905502653618491138e+01 2.886525394397616129e+00
9.366978312443609289e-02 7.885585542959719874e+01 2.888736653299376567e+00
9.561036220076832293e-02 7.865641559312412312e+01 2.890992287358573609e+00
9.756004911904452015e-02 7.845672041159456001e+01 2.893292388501342849e+00
9.951871823035716991e-02 7.825678307650457555e+01 2.895637042296367980e+00
1.014862463562431899e-01 7.805661659269141239e+01 2.898026328024880804e+00
1.034625126943807955e-01 7.785623378454822330e+01 2.900460318749620292e+00
1.054473987296260795e-01 7.765564730181273490e+01 2.902939081382911013e+00
1.074407881500285544e-01 7.745486962496077865e+01 2.905462676753950646e+00
1.094425667674919223e-01 7.725391307023274123e+01 2.908031159675410926e+00
1.114526224427741380e-01 7.705278979431901121e+01 2.910644579009460386e+00
1.134708450145439640e-01 7.685151179872828209e+01 2.913302977733289723e+00
1.154971262322323639e-01 7.665009093386093753e+01 2.916006393004197506e+00
1.175313596924373316e-01 7.644853890280774067e+01 2.918754856224346828e+00
1.195734407786589459e-01 7.624686726489271393e+01 2.921548393105219965e+00
1.216232666041566074e-01 7.604508743897793011e+01 2.924387023731860769e+00
1.236807359577367649e-01 7.584321070654611674e+01 2.927270762626934086e+00
1.257457492522925657e-01 7.564124821457617998e+01 2.930199618814674167e+00
1.278182084759289794e-01 7.543921097822588706e+01 2.933173595884738472e+00
1.298980171455196286e-01 7.523710988333417049e+01 2.936192692056031284e+00
1.319850802625509023e-01 7.503495568875568722e+01 2.939256900240521997e+00
1.340793042711194982e-01 7.483275902853849004e+01 2.942366208107080716e+00
1.361805970179585379e-01 7.463053041395561138e+01 2.945520598145369373e+00
1.382888677143749023e-01 7.442828023540012339e+01 2.948720047729810556e+00
1.404040268999889318e-01 7.422601876415298250e+01 2.951964529183639385e+00
1.425259864081747097e-01 7.402375615403221332e+01 2.955254009843089946e+00
1.446546593331043684e-01 7.382150244293131891e+01 2.958588452121685197e+00
1.467899599983078784e-01 7.361926755425463398e+01 2.961967813574674313e+00
1.489318039266637472e-01 7.341706129825642790e+01 2.965392046963620576e+00
1.510801078117421925e-01 7.321489337329049363e+01 2.968861100321136259e+00
1.532347894904263763e-01 7.301277336697634723e+01 2.972374917015774720e+00
1.553957679167431438e-01 7.281071075728789310e+01 2.975933435817089023e+00
1.575629631368367367e-01 7.260871491356991214e+01 2.979536590960844666e+00
1.597362962650250573e-01 7.240679509748763110e+01 2.983184312214391731e+00
1.619156894608803909e-01 7.220496046391409095e+01 2.986876524942193356e+00
1.641010659072798528e-01 7.200322006175984768e+01 2.990613150171510970e+00
1.662923497893744607e-01 7.180158283474933967e+01 2.994394104658222311e+00
1.684894662744288452e-01 7.160005762214792924e+01 2.998219300952785993e+00
1.706923414924851334e-01 7.139865315944331314e+01 3.002088647466333082e+00
1.729009025178087910e-01 7.119737807898495419e+01 3.006002048536871474e+00
1.751150773510753156e-01 7.099624091058487352e+01 3.009959404495606616e+00
1.773347949022594794e-01 7.079525008208297265e+01 3.013960611733349282e+00
1.795599849741907617e-01 7.059441391987976999e+01 3.018005562767013039e+00
1.817905782467410525e-01 7.039374064943950771e+01 3.022094146306170348e+00
1.840265062616115999e-01 7.019323839576632906e+01 3.026226247319679707e+00
1.862677014076888349e-01 6.999291518385560096e+01 3.030401747102334120e+00
1.885140969069402095e-01 6.979277893912342279e+01 3.034620523341540199e+00
1.907656268008221523e-01 6.959283748781585643e+01 3.038882450184014150e+00
1.930222259371741356e-01 6.939309855740052058e+01 3.043187398302448887e+00
1.952838299575748171e-01 6.919356977694205568e+01 3.047535234962168715e+00
1.975503752851357209e-01 6.899425867746373342e+01 3.051925824087734718e+00
1.998217991127115289e-01 6.879517269229670262e+01 3.056359026329491080e+00
2.020980393915050299e-01 6.859631915741849184e+01 3.060834699130020820e+00
2.043790348200474061e-01 6.839770531178253066e+01 3.065352696790519360e+00
2.066647248335346798e-01 6.819933829763995448e+01 3.069912870537034877e+00
2.089550495935024454e-01 6.800122516085518498e+01 3.074515068586578526e+00
2.112499499778218437e-01 6.780337285121640889e+01 3.079159136213085901e+00
2.135493675710009309e-01 6.760578822274239030e+01 3.083844915813195087e+00
2.158532446547758443e-01 6.740847803398652616e+01 3.088572246971839075e+00
2.181615241989770804e-01 6.721144894833932426e+01 3.093340966527624136e+00
2.204741498526577859e-01 6.701470753433039818e+01 3.098150908637980372e+00
2.227910659354701839e-01 6.681826026593041945e+01 3.103001904844060466e+00
2.251122174292782274e-01 6.662211352285477517e+01 3.107893784135376425e+00
2.274375499699945180e-01 6.642627359086871763e+01 3.112826373014152992e+00
2.297670098396303873e-01 6.623074666209545569e+01 3.117799495559369305e+00
2.321005439585483165e-01 6.603553883532774194e+01 3.122812973490487032e+00
2.344380998779068970e-01 6.584065611634341053e+01 3.127866626230839220e+00
2.367796257722886433e-01 6.564610441822547671e+01 3.132960270970666983e+00
2.391250704325015020e-01 6.545188956168775007e+01 3.138093722729772495e+00
2.414743832585454220e-01 6.525801727540584807e+01 3.143266794419792731e+00
2.438275142527362993e-01 6.506449319635456163e+01 3.148479296906066871e+00
2.461844140129788028e-01 6.487132287015168686e+01 3.153731039069078701e+00
2.485450337261810583e-01 6.467851175140893361e+01 3.159021827865464260e+00
2.509093251618046971e-01 6.448606520409013854e+01 3.164351468388559852e+00
2.532772406655426911e-01 6.429398850187699566e+01 3.169719763928497080e+00
2.556487331531193674e-01 6.410228682854284443e+01 3.175126516031802293e+00
2.580237561042069694e-01 6.391096527833446572e+01 3.180571524560503960e+00
2.604022635564521848e-01 6.372002885636231184e+01 3.186054587750736022e+00
2.627842100996080621e-01 6.352948247899926315e+01 3.191575502270810105e+00
2.651695508697659021e-01 6.333933097428804615e+01 3.197134063278757043e+00
2.675582415436828509e-01 6.314957908235755468e+01 3.202730064479322181e+00
2.699502383331995325e-01 6.296023145584805292e+01 3.208363298180391787e+00
2.723454979797454989e-01 6.277129266034539512e+01 3.214033555348865256e+00
2.747439777489260049e-01 6.258276717482430485e+01 3.219740625665926448e+00
2.771456354251879972e-01 6.239465939210081302e+01 3.225484297581732385e+00
2.795504293065610435e-01 6.220697361929381941e+01 3.231264358369502432e+00
2.819583181994704257e-01 6.201971407829568506e+01 3.237080594178988857e+00
2.843692614136175134e-01 6.183288490625207601e+01 3.242932790089330108e+00
2.867832187569272495e-01 6.164649015605071725e+01 3.248820730161273929e+00
2.892001505305566988e-01 6.146053379681931261e+01 3.254744197488762314e+00
2.916200175239642700e-01 6.127501971443221152e+01 3.260702974249872987e+00
2.940427810100358919e-01 6.108995171202613506e+01 3.266696841757108505e+00
2.964684027402668676e-01 6.090533351052450683e+01 3.272725580507023224e+00
2.988968449399949656e-01 6.072116874917047369e+01 3.278788970229192579e+00
3.013280703036860242e-01 6.053746098606843162e+01 3.284886789934500229e+00
3.037620419902665736e-01 6.035421369873395037e+01 3.291018817962765741e+00
3.061987236185038652e-01 6.017143028465189758e+01 3.297184832029670165e+00
3.086380792624311420e-01 5.998911406184267037e+01 3.303384609273021688e+00
3.110800734468154305e-01 5.980726826943632091e+01 3.309617926298307200e+00
3.135246711426684096e-01 5.962589606825437016e+01 3.315884559223571060e+00
3.159718377627965258e-01 5.944500054139927414e+01 3.322184283723585541e+00
3.184215391573909093e-01 5.926458469485110214e+01 3.328516875073333381e+00
3.208737416096547057e-01 5.908465145807153363e+01 3.334882108190779348e+00
3.233284118314675437e-01 5.890520368461469047e+01 3.341279757678950801e+00
3.257855169590849198e-01 5.872624415274475496e+01 3.347709597867304154e+00
3.282450245488727769e-01 5.854777556606017441e+01 3.354171402852398565e+00
3.307069025730756673e-01 5.836980055412404056e+01 3.360664946537851083e+00
3.331711194156171674e-01 5.819232167310069315e+01 3.367190002673600357e+00
3.356376438679327667e-01 5.801534140639811454e+01 3.373746344894455795e+00
3.381064451248341207e-01 5.783886216531593760e+01 3.380333746757947289e+00
3.405774927804031127e-01 5.766288628969893892e+01 3.386951981781464394e+00
3.430507568239166694e-01 5.748741604859556276e+01 3.393600823478705841e+00
3.455262076358006640e-01 5.731245364092145422e+01 3.400280045395414952e+00
3.480038159836122968e-01 5.713800119612762529e+01 3.406989421144421826e+00
3.504835530180510639e-01 5.696406077487308295e+01 3.413728724439991424e+00
3.529653902689978695e-01 5.679063436970164958e+01 3.420497729131475317e+00
3.554492996415808959e-01 5.661772390572273395e+01 3.427296209236259994e+00
3.579352534122696716e-01 5.644533124129576152e+01 3.434123938972057921e+00
3.604232242249946205e-01 5.627345816871819295e+01 3.440980692788471629e+00
3.629131850872941989e-01 5.610210641491659089e+01 3.447866245397917417e+00
3.654051093664877903e-01 5.593127764214083442e+01 3.454780371805838524e+00
3.678989707858744129e-01 5.576097344866096250e+01 3.461722847340265030e+00
3.703947434209571288e-01 5.559119536946656837e+01 3.468693447680696096e+00
3.728924016956938758e-01 5.542194487696841776e+01 3.475691948886323157e+00
3.753919203787727255e-01 5.525322338170212788e+01 3.482718127423587440e+00
3.778932745799125636e-01 5.508503223303360841e+01 3.489771760193087324e+00
3.803964397461893077e-01 5.491737271986603020e+01 3.496852624555833788e+00
3.829013916583871024e-01 5.475024607134821508e+01 3.503960498358864584e+00
3.854081064273736090e-01 5.458365345758395648e+01 3.511095159960216261e+00
3.879165604905014941e-01 5.441759599034240580e+01 3.518256388253269140e+00
3.904267306080336231e-01 5.425207472376889939e+01 3.525443962690463895e+00
3.929385938595934546e-01 5.408709065509637526e+01 3.532657663306388418e+00
3.954521276406401387e-01 5.392264472535691056e+01 3.539897270740268720e+00
3.979673096589679271e-01 5.375873782009325907e+01 3.547162566257836325e+00
4.004841179312309540e-01 5.359537077007018979e+01 3.554453331772597036e+00
4.030025307794917744e-01 5.343254435198539909e+01 3.561769349866519718e+00
4.055225268277954376e-01 5.327025928917975506e+01 3.569110403810114907e+00
4.080440849987672092e-01 5.310851625234677442e+01 3.576476277581944530e+00
4.105671845102361051e-01 5.294731586024104075e+01 3.583866755887563649e+00
4.130918048718817404e-01 5.278665868038535791e+01 3.591281624177879550e+00
4.156179258819073796e-01 5.262654522977659610e+01 3.598720668666967271e+00
4.181455276237364127e-01 5.246697597558985393e+01 3.606183676349320688e+00
4.206745904627340882e-01 5.230795133588088675e+01 3.613670435016563154e+00
4.232050950429541158e-01 5.214947168028659519e+01 3.621180733273622998e+00
4.257370222839099161e-01 5.199153733072333949e+01 3.628714360554376572e+00
4.282703533773703497e-01 5.183414856208307953e+01 3.636271107136762826e+00
4.308050697841809273e-01 5.167730560292686448e+01 3.643850764157393396e+00
4.333411532311095549e-01 5.152100863617588544e+01 3.651453123625646224e+00
4.358785857077169812e-01 5.136525779979972128e+01 3.659077978437265344e+00
4.384173494632523926e-01 5.121005318750155766e+01 3.666725122387457514e+00
4.409574270035741539e-01 5.105539484940043593e+01 3.674394350183523894e+00
4.434988010880949738e-01 5.090128279271030465e+01 3.682085457456989452e+00
4.460414547267526064e-01 5.074771698241561069e+01 3.689798240775283844e+00
4.485853711770054764e-01 5.059469734194350821e+01 3.697532497652950667e+00
4.511305339408528958e-01 5.044222375383237988e+01 3.705288026562399306e+00
4.536769267618810386e-01 5.029029606039667044e+01 3.713064626944223345e+00
4.562245336223333947e-01 5.013891406438781218e+01 3.720862099217069563e+00
4.587733387402063712e-01 4.998807752965122120e+01 3.728680244787066833e+00
4.613233265663706506e-01 4.983778618177908726e+01 3.736518866056865562e+00
4.638744817817166410e-01 4.968803970875909215e+01 3.744377766434218824e+00
4.664267892943256277e-01 4.953883776161874408e+01 3.752256750340182023e+00
4.689802342366660159e-01 4.939017995506530667e+01 3.760155623216908438e+00
4.715348019628144427e-01 4.924206586812121600e+01 3.768074191535045969e+00
4.740904780457016465e-01 4.909449504475492887e+01 3.776012262800746200e+00
4.766472482743844274e-01 4.894746699450703176e+01 3.783969645562303086e+00
4.792050986513415878e-01 4.880098119311161042e+01 3.791946149416417278e+00
4.817640153897951305e-01 4.865503708311278075e+01 3.799941585014096290e+00
4.843239849110568818e-01 4.850963407447617470e+01 3.807955764066197624e+00
4.868849938418994272e-01 4.836477154519559463e+01 3.815988499348625940e+00
4.894470290119525835e-01 4.822044884189443792e+01 3.824039604707187401e+00
4.920100774511241837e-01 4.807666528042204135e+01 3.832108895062103393e+00
4.945741263870458981e-01 4.793342014644483839e+01 3.840196186412212942e+00
4.971391632425440910e-01 4.779071269603218042e+01 3.848301295838830072e+00
4.997051756331349903e-01 4.764854215623691402e+01 3.856424041509316947e+00
5.022721513645445057e-01 4.750690772567058673e+01 3.864564242680320394e+00
5.048400784302533584e-01 4.736580857507311038e+01 3.872721719700735310e+00
5.074089450090654152e-01 4.722524384787709550e+01 3.880896294014354986e+00
5.099787394627021131e-01 4.708521266076667189e+01 3.889087788162247428e+00
5.125494503334199203e-01 4.694571410423060343e+01 3.897296025784845686e+00
5.151210663416527780e-01 4.680674724311006685e+01 3.905520831623769062e+00
5.176935763836785220e-01 4.666831111714056846e+01 3.913762031523373874e+00
5.202669695293097307e-01 4.653040474148840389e+01 3.922019452432044861e+00
5.228412350196082192e-01 4.639302710728131984e+01 3.930292922403235245e+00
5.254163622646238485e-01 4.625617718213355545e+01 3.938582270596257651e+00
5.279923408411572039e-01 4.611985391066516371e+01 3.946887327276830337e+00
5.305691604905455883e-01 4.598405621501551366e+01 3.955207923817391613e+00
5.331468111164729962e-01 4.584878299535117208e+01 3.963543892697182880e+00
5.357252827828038466e-01 4.571403313036793037e+01 3.971895067502110965e+00
5.383045657114399196e-01 4.557980547778705471e+01 3.980261282924384858e+00
5.408846502802003853e-01 4.544609887484582345e+01 3.988642374761955267e+00
5.434655270207253697e-01 4.531291213878221669e+01 3.997038179917726364e+00
5.460471866164027244e-01 4.518024406731384346e+01 4.005448536398585446e+00
5.486296199003170004e-01 4.504809343911106367e+01 4.013873283314234541e+00
5.512128178532225142e-01 4.491645901426434762e+01 4.022312260875814616e+00
