sr b Me
0.000000000000000000e+00 8.952055009500716665e+01 2.603756337472646454e+00
9.905053508214831798e-03 8.891839086147456328e+01 2.604173115519140769e+00
2.133770070542837308e-02 8.762937873875519301e+01 2.606146644909233423e+00
3.522253351235036384e-02 8.620607955541578349e+01 2.610040328311998614e+00
5.091374665212330952e-02 8.469822154346910281e+01 2.616133342386512073e+00
6.804898184878985234e-02 8.312926059676179591e+01 2.624631401314355905e+00
8.640138593434229519e-02 8.151462975665738497e+01 2.635687752919074089e+00
1.058130297378509499e-01 7.986601435893632583e+01 2.649413178958882842e+00
1.261656799418419683e-01 7.819299768733846179e+01 2.665881508487957685e+00
1.473662709917387681e-01 7.650382481520705369e+01 2.685133265295470917e+00
1.693388973635911732e-01 7.480579350920791626e+01 2.707178548581915756e+00
1.920200398481926307e-01 7.310546484009674373e+01 2.731999653222362046e+00
2.153555422686928289e-01 7.140877938640393552e+01 2.759553663622378306e+00
2.392986007285560490e-01 6.972112199544920941e+01 2.789775114117092780e+00
2.638083688109779112e-01 6.804735847645493152e+01 2.822578730709083494e+00
2.888489521788777936e-01 6.639185770358170657e+01 2.857862225475441775e+00
3.143886569115632579e-01 6.475850715617242770e+01 2.895509092907032844e+00
3.403994074339273812e-01 6.315072669309080311e+01 2.935391349478099876e+00
3.668562805341282207e-01 6.157148332847202710e+01 2.977372159188085732e+00
3.937371208867799233e-01 6.002330845010693139e+01 3.021308295258859467e+00
4.210222155065756477e-01 5.850831804095030719e+01 3.067052398982705430e+00
4.486940123103044242e-01 5.702823588519243003e+01 3.114455008877222486e+00
4.767368730096882001e-01 5.558441937583464920e+01 3.163366345322641049e+00
5.051368538359790605e-01 5.417788733268957913e+01 3.213637846723021330e+00
5.338815097088918105e-01 5.280934914593428431e+01 3.265123462347938155e+00
5.629597188007595676e-01 5.147923454813531663e+01 3.317680714114648932e+00
5.923615252763160255e-01 5.018772336104064635e+01 3.371171544654575136e+00
6.220779984890429937e-01 4.893477464170059932e+01 3.425462972235672865e+00
6.521011072088237492e-01 4.772015474946768165e+01 3.480427574747875230e+00
6.824236076249312610e-01 4.654346395893801258e+01 3.535943825310670086e+00
7.130389439673461283e-01 4.540416134522037339e+01 3.591896301439824857e+00
7.439411606525608844e-01 4.430158776122198816e+01 3.648175788401375907e+00
7.751248249083665387e-01 4.323498680849872500e+01 3.704679295630842528e+00
8.065849588774641754e-01 4.220352377200418204e+01 3.761310003105491351e+00
8.383169802479416566e-01 4.120630254450870211e+01 3.817977152482993297e+00
8.703166505118263840e-01 4.024238060920225735e+01 3.874595895773869536e+00
9.025800300110129459e-01 3.931078218024948256e+01 3.931087112376278725e+00
9.351034389917133316e-01 3.841050962234449173e+01 3.987377203519193891e+00
9.678834239525165861e-01 3.754055328325601693e+01 4.043397871559649026e+00
1.000916728635527608e+00 3.669989987953150035e+01 4.099085890172013968e+00
1.034200269073345169e+00 3.588753957642614978e+01 4.154382870249653692e+00
1.067731112165599905e+00 3.510247190003662610e+01 4.209235025302357158e+00
1.101506457316500986e+00 3.434371061366379507e+01 4.263592939261577008e+00
1.135523620718674298e+00 3.361028768252945298e+01 4.317411338883075267e+00
1.169780021918167989e+00 3.290125644187305909e+01 4.370648872344814251e+00
1.204273172340685205e+00 3.221569407374320804e+01 4.423267895159115781e+00
1.239000665499877751e+00 3.155270348790784141e+01 4.475234264136295437e+00
1.273960168645052127e+00 3.091141469258388241e+01 4.526517139835719128e+00
1.309149415638091396e+00 3.029098573134332284e+01 4.577088797706932333e+00
1.344566200878081208e+00 2.969060325375149390e+01 4.626924447945983232e+00
1.380208374117327219e+00 2.910948277912739712e+01 4.676002063959650457e+00
1.416073836034509759e+00 2.854686870533688747e+01 4.724302219234117750e+00
1.452160534449913554e+00 2.800203410773679735e+01 4.771807932338403724e+00
1.488466461084354542e+00 2.747428036729231593e+01 4.818504519748517012e+00
1.524989648777833606e+00 2.696293666144105572e+01 4.864379456152693848e+00
