y_bar r2
9.999999999999999547e-07 2.539110847129134440e-06
3.403747905880405347e-03 8.642486619551416685e-03
6.806495811760810560e-03 1.728237150856099663e-02
1.020924371764121534e-02 2.592210203845615735e-02
1.361199162352162012e-02 3.456156763989375741e-02
1.701473952940202664e-02 4.320064369564222129e-02
2.041748743528243315e-02 5.183919409974702824e-02
2.382023534116283620e-02 6.047707288213668986e-02
2.722298324704324271e-02 6.911412536172711896e-02
3.062573115292364923e-02 7.775018902022190481e-02
3.402847905880405227e-02 8.638509419487463981e-02
3.743122696468445532e-02 9.501866464644997956e-02
4.083397487056486530e-02 1.036507180371743636e-01
4.423672277644526835e-02 1.122810663414808563e-01
4.763947068232567139e-02 1.209095162051801731e-01
5.104221858820608138e-02 1.295358692641637444e-01
5.444496649408648442e-02 1.381599224307692164e-01
5.784771439996688747e-02 1.467814681538994748e-01
6.125046230584729745e-02 1.554002946575607502e-01
6.465321021172769356e-02 1.640161861614567174e-01
6.805595811760810354e-02 1.726289230865116486e-01
7.145870602348851353e-02 1.812382822476305277e-01
7.486145392936890963e-02 1.898440370355652107e-01
7.826420183524931962e-02 1.984459575894200745e-01
8.166694974112972960e-02 2.070438109610638622e-01
8.506969764701012571e-02 2.156373612725043243e-01
8.847244555289053569e-02 2.242263698671124461e-01
9.187519345877094568e-02 2.328105954554444967e-01
9.527794136465134178e-02 2.413897942562974464e-01
9.868068927053175177e-02 2.499637201335416781e-01
1.020834371764121618e-01 2.585321247291927915e-01
1.054861850822925579e-01 2.670947575931245099e-01
1.088889329881729678e-01 2.756513663097650002e-01
1.122916808940533778e-01 2.842016966220758389e-01
1.156944287999337739e-01 2.927454925530688645e-01
1.190971767058141839e-01 3.012824965250846532e-01
1.224999246116945939e-01 3.098124494770287951e-01
1.259026725175750039e-01 3.183350909797283967e-01
1.293054204234553861e-01 3.268501593495587443e-01
1.327081683293357961e-01 3.353573917604640298e-01
1.361109162352162061e-01 3.438565243544794980e-01
1.395136641410966161e-01 3.523472923508516041e-01
1.429164120469770261e-01 3.608294301538325644e-01
1.463191599528574360e-01 3.693026714592207438e-01
1.497219078587378183e-01 3.777667493597025583e-01
1.531246557646182282e-01 3.862213964490448515e-01
1.565274036704986382e-01 3.946663449251792133e-01
1.599301515763790482e-01 4.031013266922072180e-01
1.633328994822594582e-01 4.115260734613592764e-01
1.667356473881398682e-01 4.199403168509172057e-01
1.701383952940202504e-01 4.283437884851277744e-01
1.735411431999006604e-01 4.367362200921039439e-01
1.769438911057810704e-01 4.451173436007309081e-01
1.803466390116614804e-01 4.534868912365712657e-01
1.837493869175418904e-01 4.618445956167706590e-01
1.871521348234223003e-01 4.701901898439604377e-01
1.905548827293026826e-01 4.785234075991460778e-01
1.939576306351830925e-01 4.868439832335756945e-01
1.973603785410635025e-01 4.951516518595731053e-01
2.007631264469439125e-01 5.034461494403255077e-01
2.041658743528243225e-01 5.117272128786052310e-01
2.075686222587047325e-01 5.199945801044133509e-01
2.109713701645851147e-01 5.282479901615216855e-01
2.143741180704655247e-01 5.364871832929015705e-01
2.177768659763459347e-01 5.447119010250083271e-01
