sr b Me
0.000000000000000000e+00 8.996151746723523956e+01 2.794255047536152503e+00
3.994481022560873338e-04 8.991319948223308245e+01 2.794258015062322631e+00
8.604932164106290438e-04 8.980969163361814367e+01 2.794272076125901005e+00
1.420573444616383919e-03 8.969517556125114766e+01 2.794299872304023769e+00
2.053807664908348374e-03 8.957344392695499380e+01 2.794343518665332482e+00
2.745778538235575834e-03 8.944614844494935824e+01 2.794404701154066473e+00
3.487560016135951742e-03 8.931427136475713269e+01 2.794484843095329740e+00
4.273026221472815862e-03 8.917847539449864769e+01 2.794585189033144346e+00
5.097666158828648847e-03 8.903924220969535952e+01 2.794706852229457361e+00
5.957991074468997096e-03 8.889693989433929744e+01 2.794850844491775455e+00
6.851204870571379370e-03 8.875186014216974684e+01 2.795018096282870790e+00
7.775005281005800857e-03 8.860424060889987175e+01 2.795209470998347712e+00
8.727456191887528192e-03 8.845427921465666543e+01 2.795425775510284261e+00
9.706901526713206454e-03 8.830214375064119281e+01 2.795667768198316860e+00
1.071190483450302697e-02 8.814797858625428262e+01 2.795936165221790670e+00
1.174120552303555172e-02 8.799190950233845854e+01 2.796231645520244058e+00
1.279368629005945938e-02 8.783404726718620736e+01 2.796554854869569784e+00
1.386834833256466934e-02 8.767449034217486314e+01 2.796906409220927703e+00
1.496429210739992632e-02 8.751332696856086102e+01 2.797286897484223989e+00
1.608070214763070507e-02 8.735063680404408615e+01 2.797696883874221108e+00
1.721683490273434591e-02 8.718649222514662256e+01 2.798136909907192660e+00
1.837200887377814229e-02 8.702095937713293949e+01 2.798607496114723592e+00
1.954559651804662485e-02 8.685409903020932632e+01 2.799109143525952526e+00
2.073701753719242244e-02 8.668596728498657455e+01 2.799642334958305945e+00
2.194573326084047621e-02 8.651661615917313952e+01 2.800207536148396681e+00
2.317124190744130133e-02 8.634609407962034311e+01 2.800805196748397119e+00
2.441307455488581427e-02 8.617444629816218082e+01 2.801435751208379621e+00
2.567079169076742426e-02 8.600171524551971913e+01 2.802099619561288613e+00
2.694398024009599102e-02 8.582794083443356215e+01 2.802797208124313322e+00
2.823225098938626429e-02 8.565316072084451093e+01 2.803528910128022744e+00
2.953523634220088512e-02 8.547741053015661805e+01 2.804295106282808092e+00
3.085258835372098329e-02 8.530072405424026272e+01 2.805096165290614341e+00
3.218397700167126979e-02 8.512313342376175740e+01 2.805932444308746110e+00
3.352908865861067844e-02 8.494466925958508341e+01 2.806804289371516159e+00
3.488762473670416198e-02 8.476536080632567405e+01 2.807712035774672099e+00
3.625930048097868869e-02 8.458523605060516104e+01 2.808656008426845485e+00
3.764384389100840916e-02 8.440432182612903489e+01 2.809636522171699458e+00
3.904099475417408677e-02 8.422264390736347650e+01 2.810653882083952393e+00
4.045050377625823701e-02 8.404022709330695307e+01 2.811708383742077100e+00
4.187213179728675044e-02 8.385709528262093215e+01 2.812800313480082082e+00
4.330564908230639248e-02 8.367327154119492150e+01 2.813929948620543353e+00
4.475083467826472539e-02 8.348877816306270461e+01 2.815097557690744434e+00
4.620747582939375986e-02 8.330363672545720988e+01 2.816303400623606290e+00
4.767536744453457903e-02 8.311786813867956880e+01 2.817547728944892249e+00
4.915431161071426303e-02 8.293149269136867474e+01 2.818830785947993522e+00
5.064411714802570519e-02 8.274453009167685025e+01 2.820152806857477490e+00
5.214459920149073363e-02 8.255699950479395000e+01 2.821514018982452132e+00
5.365557886612323801e-02 8.236891958720396190e+01 2.822914641860687190e+00
5.517688284186961917e-02 8.218030851801205472e+01 2.824354887394353142e+00
5.670834311549896589e-02 8.199118402763744484e+01 2.825834959978125838e+00
5.824979666685690949e-02 8.180156342413384607e+01 2.827355056620360685e+00
5.980108519719240512e-02 8.161146361736709309e+01 2.828915367057952324e+00
6.136205487752265098e-02 8.142090114125363698e+01 2.830516073865473103e+00
6.293255611522541315e-02 8.122989217424249375e+01 2.832157352559062424e+00
6.451244333724179270e-02 8.103845255819966553e+01 2.833839371695579423e+00
6.610157478844445877e-02 8.084659781584089444e+01 2.835562292967418685e+00
6.769981234387489888e-02 8.065434316683941063e+01 2.837326271293387769e+00
6.930702133368604745e-02 8.046170354272591396e+01 2.839131454906004048e+00
7.092307037974239503e-02 8.026869360068138803e+01 2.840977985435538589e+00
7.254783124293293084e-02 8.007532773631844236e+01 2.842865997991098403e+00
7.418117868034278251e-02 7.988162009553369103e+01 2.844795621239025962e+00
7.582299031151133739e-02 7.968758458550684054e+01 2.846766977478866423e+00
7.747314649307554535e-02 7.949323488491556589e+01 2.848780182717132181e+00
7.913153020116237002e-02 7.929858445342833306e+01 2.850835346739070797e+00
8.079802692095090777e-02 7.910364654052987987e+01 2.852932573178656561e+00
8.247252454287684609e-02 7.890843419373376832e+01 2.855071959586931385e+00
8.415491326499727198e-02 7.871296026622555075e+01 2.857253597498929931e+00
8.584508550107604330e-02 7.851723742398137063e+01 2.859477572499276921e+00
8.754293579398611524e-02 7.832127815239979896e+01 2.861743964286631581e+00
8.924836073406046399e-02 7.812509476248287399e+01 2.864052846737102254e+00
9.096125888205153220e-02 7.792869939659927070e+01 2.866404287966737741e+00
9.268153069638834785e-02 7.773210403385904499e+01 2.868798350393223284e+00
9.440907846444406004e-02 7.753532049512821800e+01 2.871235090796848244e+00
9.614380623755032496e-02 7.733836044770765739e+01 2.873714560380880911e+00
9.788561976951391796e-02 7.714123540970041404e+01 2.876236804831392213e+00
9.963442645841123768e-02 7.694395675408884472e+01 2.878801864376637099e+00
1.013901352914519521e-01 7.674653571254077633e+01 2.881409773846041134e+00
1.031526567927195798e-01 7.654898337896466387e+01 2.884060562728869126e+00
1.049219029736099679e-01 7.635131071282880555e+01 2.886754255232635291e+00
1.066977872858022591e-01 7.615352854226181023e+01 2.889490870341298034e+00
1.084802245766084278e-01 7.595564756694898279e+01 2.892270421873294861e+00
1.102691310465585134e-01 7.575767836083691975e+01 2.895092918539470261e+00
1.120644242090882564e-01 7.555963137466092405e+01 2.897958364000904119e+00
1.138660228522053591e-01 7.536151693830518639e+01 2.900866756926723244e+00
1.156738470020189369e-01 7.516334526300782670e+01 2.903818091051884931e+00
1.174878178880241208e-01 7.496512644342095655e+01 2.906812355234982270e+00
1.193078579100416148e-01 7.476687045953451616e+01 2.909849533516096987e+00
1.211338906067176147e-01 7.456858717847396179e+01 2.912929605174707337e+00
1.229658406254966058e-01 7.437028635617892292e+01 2.916052544787690159e+00
1.248036336939841312e-01 7.417197763897188167e+01 2.919218322287409517e+00
1.266471965926232457e-01 7.397367056502345406e+01 2.922426903019921252e+00
1.284964571286112966e-01 7.377537456572044050e+01 2.925678247803312537e+00
1.303513441109898641e-01 7.357709896694534280e+01 2.928972312986153348e+00
1.322117873268440214e-01 7.337885299027045960e+01 2.932309050506104242e+00
1.340777175185510206e-01 7.318064575407426275e+01 2.935688407948661816e+00
1.359490663620218920e-01 7.298248627458514193e+01 2.939110328606044931e+00
1.378257664458835685e-01 7.278438346685649663e+01 2.942574751536235489e+00
1.397077512515512709e-01 7.258634614567903043e+01 2.946081611622163532e+00
1.415949551341441626e-01 7.238838302643304701e+01 2.949630839631050883e+00
1.434873133042007531e-01 7.219050272588796702e+01 2.953222362273868917e+00
1.453847618101513639e-01 7.199271376294950642e+01 2.956856102264953101e+00
1.472872375215090734e-01 7.179502455935953265e+01 2.960531978381762297e+00
1.491946781127417021e-01 7.159744344035449615e+01 2.964249905524713569e+00
1.511070220477898352e-01 7.139997863528029143e+01 2.968009794777199950e+00
1.530242085651978556e-01 7.120263827817258573e+01 2.971811553465660616e+00
1.549461776638264288e-01 7.100543040830174846e+01 2.975655085219766072e+00
1.568728700891170169e-01 7.080836297068492513e+01 2.979540290032725469e+00
1.588042273198805587e-01 7.061144381657332758e+01 2.983467064321576157e+00
1.607401915555834171e-01 7.041468070390742184e+01 2.987435300987650866e+00
1.626807057041058657e-01 7.021808129775178031e+01 2.991444889477016034e+00
1.646257133699490505e-01 7.002165317070742390e+01 2.995495715840962525e+00
1.665751588428683316e-01 6.982540380330212315e+01 2.999587662796551868e+00
1.685289870869111084e-01 6.962934058436563589e+01 3.003720609787122520e+00
1.704871437298394465e-01 6.943347081138728072e+01 3.007894433042801907e+00
1.724495750529178029e-01 6.923780169085821967e+01 3.012109005641039339e+00
1.744162279810481386e-01 6.904234033860218744e+01 3.016364197567053651e+00
1.763870500732350466e-01 6.884709378009596037e+01 3.020659875774218239e+00
1.783619895133641553e-01 6.865206895077702143e+01 3.024995904244434541e+00
1.803409951012787116e-01 6.845727269634569723e+01 3.029372144048367410e+00
1.823240162441393530e-01 6.826271177305903848e+01 3.033788453405591223e+00
1.843110029480533041e-01 6.806839284801766610e+01 3.038244687744649841e+00
1.863019058099592840e-01 6.787432249944990303e+01 3.042740699762932710e+00
1.882966760097559700e-01 6.768050721699150074e+01 3.047276339486416852e+00
1.902952653026615537e-01 6.748695340196124448e+01 3.051851454329272517e+00
1.922976260117934544e-01 6.729366736763674339e+01 3.056465889153239690e+00
1.943037110209570872e-01 6.710065533952813155e+01 3.061119486326834060e+00
1.963134737676334174e-01 6.690792345565297694e+01 3.065812085784302088e+00
1.983268682361555291e-01 6.671547776680897357e+01 3.070543525084418857e+00
2.003438489510651899e-01 6.652332423685281526e+01 3.075313639468914673e+00
2.023643709706403615e-01 6.633146874297644047e+01 3.080122261920764881e+00
2.043883898805849419e-01 6.613991707598931669e+01 3.084969223222101764e+00
2.064158617878737445e-01 6.594867494060238755e+01 3.089854352011880856e+00
2.084467433147440263e-01 6.575774795571521736e+01 3.094777474843259046e+00
2.104809915928275155e-01 6.556714165471107947e+01 3.099738416240533923e+00
2.125185642574147216e-01 6.537686148575257050e+01 3.104736998755876609e+00
2.145594194418468381e-01 6.518691281208390365e+01 3.109773043025653827e+00
2.166035157720274662e-01 6.499730091234111740e+01 3.114846367826328066e+00
2.186508123610490795e-01 6.480803098086451541e+01 3.119956790130071322e+00
2.207012688039288462e-01 6.461910812802007342e+01 3.125104125159908097e+00
2.227548451724480905e-01 6.443053738052643098e+01 3.130288186444480925e+00
2.248115020100907024e-01 6.424232368178888919e+01 3.135508785872380244e+00
2.268712003270757227e-01 6.405447189224142335e+01 3.140765733746015531e+00
2.289339015954792722e-01 6.386698678969258225e+01 3.146058838835136928e+00
2.309995677444425799e-01 6.367987306968444017e+01 3.151387908429733375e+00
2.330681611554606125e-01 6.349313534585385810e+01 3.156752748392614549e+00
2.351396446577485311e-01 6.330677815030384181e+01 3.162153163211440354e+00
2.372139815236823657e-01 6.312080593398464856e+01 3.167588956050205962e+00
2.392911354643096900e-01 6.293522306707795622e+01 3.173059928800360918e+00
2.413710706249279081e-01 6.275003383939342427e+01 3.178565882131293208e+00
2.434537515807265462e-01 6.256524246077211160e+01 3.184106615540318597e+00
2.455391433324909389e-01 6.238085306149660880e+01 3.189681927402189032e+00
2.476272113023641475e-01 6.219686969270993160e+01 3.195291615018032605e+00
2.497179213296654987e-01 6.201329632684574733e+01 3.200935474663650915e+00
2.518112396667617769e-01 6.183013685805958204e+01 3.206613301637479374e+00
2.539071329749901795e-01 6.164739510267587264e+01 3.212324890307739267e+00
2.560055683206299282e-01 6.146507479963749176e+01 3.218070034159195014e+00
2.581065131709210925e-01 6.128317961096502131e+01 3.223848525839277723e+00
2.602099353901282108e-01 6.110171312222574613e+01 3.229660157203557258e+00
2.623158032356470160e-01 6.092067884300664105e+01 3.235504719360769332e+00
2.644240853541528491e-01 6.074008020739819358e+01 3.241382002717115629e+00
2.665347507777887648e-01 6.055992057448485610e+01 3.247291797020021242e+00
