y_bar r2
9.999999999999999547e-07 5.970266661149648667e-19
2.102393613026369221e-02 5.547524147564575692e-06
4.204687226052738341e-02 4.435931089743710780e-05
6.306980839079107115e-02 1.495911530789960917e-04
8.409274452105476583e-02 3.541446908996674224e-04
1.051156806513184605e-01 6.904921228525356686e-04
1.261386167815821413e-01 1.190485561811016786e-03
1.471615529118458499e-01 1.885159875850327994e-03
1.681844890421095307e-01 2.804536684811229693e-03
1.892074251723732115e-01 3.977436505920057576e-03
2.102303613026369200e-01 5.431305381753303435e-03
2.312532974329006008e-01 7.192061531569751351e-03
2.522762335631642538e-01 9.283966605614557902e-03
2.732991696934279346e-01 1.172952500868492016e-02
2.943221058236916710e-01 1.454941354169847663e-02
3.153450419539553518e-01 1.776244235225027390e-02
3.363679780842190326e-01 2.138554695693379443e-02
3.573909142144827134e-01 2.543380996627507204e-02
3.784138503447463941e-01 2.992051016428818808e-02
3.994367864750101305e-01 3.485719581093292552e-02
4.204597226052738113e-01 4.025377847180229562e-02
4.414826587355374921e-01 4.611864334211161071e-02
4.625055948658011729e-01 5.245877191220766483e-02
4.835285309960648537e-01 5.927987289682165595e-02
5.045514671263285900e-01 6.658651758813496913e-02
5.255744032565923263e-01 7.438227615600000175e-02
5.465973393868559516e-01 8.266985186835698607e-02
5.676202755171196879e-01 9.145121070366085680e-02
5.886432116473834242e-01 1.007277043416814899e-01
6.096661477776470495e-01 1.105001850217103843e-01
6.306890839079107858e-01 1.207691112266449790e-01
6.517120200381744111e-01 1.315346435727099694e-01
6.727349561684381474e-01 1.427967306486775945e-01
6.937578922987018837e-01 1.545551848514183646e-01
7.147808284289655090e-01 1.668097485066548646e-01
7.358037645592292453e-01 1.795601507481011383e-01
7.568267006894928706e-01 1.928061557601289666e-01
7.778496368197566069e-01 2.065476030752777525e-01
7.988725729500203432e-01 2.207844406654231595e-01
8.198955090802839685e-01 2.355167515814128587e-01
8.409184452105477048e-01 2.507447748871639570e-01
8.619413813408113301e-01 2.664689216067378519e-01
8.829643174710750664e-01 2.826897863621163909e-01
9.039872536013388027e-01 2.994081553297618936e-01
9.250101897316024280e-01 3.166250110893332192e-01
9.460331258618661643e-01 3.343415348810416243e-01
9.670560619921297896e-01 3.525591067312970339e-01
9.880789981223935259e-01 3.712793038513101385e-01
1.009101934252657040e+00 3.905038976611472923e-01
1.030124870382920887e+00 4.102348497433665475e-01
1.051147806513184513e+00 4.304743069860421656e-01
1.072170742643448138e+00 4.512245961350213608e-01
1.093193678773711763e+00 4.724882179396135973e-01
1.114216614903975611e+00 4.942678410444266146e-01
1.135239551034239236e+00 5.165662957525507526e-01
1.156262487164502861e+00 5.393865677614442244e-01
1.177285423294766709e+00 5.627317919523948664e-01
1.198308359425030334e+00 5.866052462969433279e-01
1.219331295555293959e+00 6.110103459289022432e-01
1.240354231685557806e+00 6.359506374181852495e-01
1.261377167815821432e+00 6.614297932723831597e-01
1.282400103946085057e+00 6.874516066834961414e-01
1.303423040076348682e+00 7.140199865302971904e-01
1.324445976206612530e+00 7.411389526411977791e-01
1.345468912336876155e+00 7.688126313179678428e-01
1.366491848467139780e+00 7.970452511172216870e-01
1.387514784597403628e+00 8.258411388837402223e-01
1.408537720727667253e+00 8.552047160277675975e-01
1.429560656857930878e+00 8.851404950368512159e-01
1.450583592988194503e+00 9.156530762117528477e-01
1.471606529118458351e+00 9.467471446152708747e-01
1.492629465248721976e+00 9.784274672225041769e-01
1.513652401378985601e+00 1.010698890260855354e+00
1.534675337509249449e+00 1.043566336728172894e+00
1.555698273639513074e+00 1.077034804077616537e+00
1.576721209769776699e+00 1.111109362058064765e+00
1.597744145900040547e+00 1.145795150699444598e+00
1.618767082030304172e+00 1.181097378432574230e+00
1.639790018160567797e+00 1.217021320333771417e+00
1.660812954290831422e+00 1.253572316484925286e+00
1.681835890421095270e+00 1.290755770440181083e+00
1.702858826551358895e+00 1.328577147791050850e+00
1.723881762681622520e+00 1.367041974822200245e+00
1.744904698811886368e+00 1.406155837250584018e+00
1.765927634942149993e+00 1.445924379041315433e+00
1.786950571072413618e+00 1.486353301293792173e+00
1.807973507202677466e+00 1.527448361192442983e+00
1.828996443332941091e+00 1.569215371016622118e+00
1.850019379463204716e+00 1.611660197204602962e+00
1.871042315593468341e+00 1.654788759467061166e+00
1.892065251723732189e+00 1.698607029945895519e+00
1.913088187853995814e+00 1.743121032414390870e+00
1.934111123984259439e+00 1.788336841515064668e+00
1.955134060114523287e+00 1.834260582031969289e+00
1.976156996244786912e+00 1.880898428194448302e+00
1.997179932375050537e+00 1.928256603009431913e+00
2.018202868505314385e+00 1.976341377619802664e+00
2.039225804635578232e+00 2.025159070686579188e+00
2.060248740765842079e+00 2.074716047792571239e+00
2.081271676896105483e+00 2.131915653881184092e+00
