x y beta
4.270654194315896785e-14 9.999999999999999547e-07 8.970951456810338698e+01
1.065856693162344859e-04 2.102393613026369221e-02 8.934465540282097606e+01
4.809383367500175556e-04 4.204687226052738341e-02 8.856324724204972654e+01
1.161151793539772110e-03 6.306980839079107115e-02 8.769934391624435932e+01
2.170157250356966744e-03 8.409274452105476583e-02 8.678213713760987957e+01
3.525030670290797436e-03 1.051156806513184605e-01 8.582474524776378644e+01
5.239556726518763800e-03 1.261386167815821413e-01 8.483531387809004798e+01
7.325376933441809721e-03 1.471615529118458499e-01 8.381964574575091831e+01
9.792613741674196376e-03 1.681844890421095307e-01 8.278223532017706532e+01
1.265025082436793333e-02 1.892074251723732115e-01 8.172676770030882665e+01
1.590638328758000805e-02 2.102303613026369200e-01 8.065638968381777829e+01
1.956839170322295651e-02 2.312532974329006008e-01 7.957386907709476986e+01
2.364306838115329268e-02 2.522762335631642538e-01 7.848169351510469482e+01
2.813671208857869768e-02 2.732991696934279346e-01 7.738213410418511273e+01
3.305520104099610168e-02 2.943221058236916710e-01 7.627728747477708282e+01
3.840405041555628590e-02 3.153450419539553518e-01 7.516910403418629016e+01
4.418845852537254398e-02 3.363679780842190326e-01 7.405940713283254695e+01
5.041334448718193251e-02 3.573909142144827134e-01 7.294990612671142571e+01
5.708337937619709784e-02 3.784138503447463941e-01 7.184220529590420767e+01
6.420301230605350573e-02 3.994367864750101305e-01 7.073780994770527286e+01
7.177649249286999211e-02 4.204597226052738113e-01 6.963813062787134811e+01
7.980788809791813931e-02 4.414826587355374921e-01 6.854448609411042526e+01
8.830110245475976394e-02 4.625055948658011729e-01 6.745810552075369060e+01
9.725988814963892892e-02 4.835285309960648537e-01 6.638013027236063124e+01
1.066878593226222582e-01 5.045514671263285900e-01 6.531161548854254306e+01
1.165885024809897863e-01 5.255744032565923263e-01 6.425353165123576105e+01
1.269651860585874759e-01 5.465973393868559516e-01 6.320676625184947284e+01
1.378211689103499005e-01 5.676202755171196879e-01 6.217212563449206897e+01
1.491596078965460037e-01 5.886432116473834242e-01 6.115033705974116884e+01
1.609835646840305501e-01 6.096661477776470495e-01 6.014205100904086976e+01
1.732960118701182550e-01 6.306890839079107858e-01 5.914784373125932149e+01
1.860998385173338043e-01 6.517120200381744111e-01 5.816822001911031492e+01
1.993978551732630278e-01 6.727349561684381474e-01 5.720361619316444290e+01
2.131927984383040764e-01 6.937578922987018837e-01 5.625440326435033001e+01
2.274873351347567740e-01 7.147808284289655090e-01 5.532089024161623314e+01
2.422840661229539450e-01 7.358037645592292453e-01 5.440332754927501213e+01
2.575855298037226793e-01 7.568267006894928706e-01 5.350191051809183307e+01
2.733942053411024253e-01 7.778496368197566069e-01 5.261678291501699078e+01
2.897125156347417074e-01 7.988725729500203432e-01 5.174804047829535847e+01
3.065428300675996365e-01 8.198955090802839685e-01 5.089573442723858676e+01
3.238874670513520182e-01 8.409184452105477048e-01 5.005987491897963082e+01
3.417486963891567808e-01 8.619413813408113301e-01 4.924043442785256275e+01
3.601287414730861003e-01 8.829643174710750664e-01 4.843735102649799984e+01
3.790297813315099407e-01 9.039872536013388027e-01 4.765053155124127926e+01
3.984539525399776183e-01 9.250101897316024280e-01 4.687985463764480443e+01
4.184033510076390350e-01 9.460331258618661643e-01 4.612517361531202909e+01
4.388800336499276145e-01 9.670560619921297896e-01 4.538631925395707611e+01
4.598860199571040974e-01 9.880789981223935259e-01 4.466310235544267471e+01
4.814232934672393327e-01 1.009101934252657040e+00 4.395531618887273595e+01
5.034938031513648271e-01 1.030124870382920887e+00 4.326273876793462136e+01
5.260994647177227312e-01 1.051147806513184513e+00 4.258513497149499472e+01
5.492421618413967366e-01 1.072170742643448138e+00 4.192225850998627834e+01
5.729237473249785273e-01 1.093193678773711763e+00 4.127385374139591789e+01
5.971460441954118403e-01 1.114216614903975611e+00 4.063965734169320143e+01
6.219108467416707420e-01 1.135239551034239236e+00 4.001939983533794987e+01
6.472199214975169479e-01 1.156262487164502861e+00 3.941280699212146033e+01
6.730750081731950996e-01 1.177285423294766709e+00 3.881960109702488637e+01
6.994778205395950632e-01 1.198308359425030334e+00 3.823950210005812522e+01
7.264300472681091136e-01 1.219331295555293959e+00 3.767222865319308767e+01
7.539333527291314230e-01 1.240354231685557806e+00 3.711749904154166302e+01
7.819893777519163480e-01 1.261377167815821432e+00 3.657503201587755370e+01
8.105997403482806396e-01 1.282400103946085057e+00 3.604454753346986706e+01
8.397660364024436275e-01 1.303423040076348682e+00 3.552576741400800131e+01
8.694898403291109190e-01 1.324445976206612530e+00 3.501841591716213742e+01
8.997727057017534946e-01 1.345468912336876155e+00 3.452222024804837019e+01
9.306161658528813163e-01 1.366491848467139780e+00 3.403691099657766728e+01
9.620217344479693455e-01 1.387514784597403628e+00 3.356222251634527964e+01
9.939909060345859526e-01 1.408537720727667253e+00 3.309789324840237157e+01
1.026525156568147246e+00 1.429560656857930878e+00 3.264366599491999921e+01
1.059625943915625257e+00 1.450583592988194503e+00 3.219928814743089163e+01
1.093294708338443222e+00 1.471606529118458351e+00 3.176451187401301368e+01
1.127532872955707699e+00 1.492629465248721976e+00 3.133909426947042576e+01
1.162341844188844453e+00 1.513652401378985601e+00 3.092279747226043796e+01
1.197723012188634195e+00 1.534675337509249449e+00 3.051538875162955122e+01
1.233677751245576770e+00 1.555698273639513074e+00 3.011664056814477775e+01
1.270207420184460201e+00 1.576721209769776699e+00 2.972633061054208881e+01
1.307313362743938168e+00 1.597744145900040547e+00 2.934424181157534761e+01
1.344996907941879538e+00 1.618767082030304172e+00 2.897016234530827106e+01
1.383259370427207591e+00 1.639790018160567797e+00 2.860388560808127068e+01
1.422102050818888408e+00 1.660812954290831422e+00 2.824521018518296245e+01
1.461526236032700155e+00 1.681835890421095270e+00 2.789393980506469362e+01
1.501533199596374324e+00 1.702858826551358895e+00 2.754988328276912668e+01
1.542124201953658735e+00 1.723881762681622520e+00 2.721285445407934134e+01
1.583300490757822310e+00 1.744904698811886368e+00 2.688267210174617006e+01
1.625063301155093898e+00 1.765927634942149993e+00 2.655915987502149278e+01
1.667413856058497235e+00 1.786950571072413618e+00 2.624214620359078864e+01
1.710353366412520115e+00 1.807973507202677466e+00 2.593146420689676646e+01
1.753883031449017249e+00 1.828996443332941091e+00 2.562695159973135262e+01
1.798004038934751136e+00 1.850019379463204716e+00 2.532845059488197137e+01
1.842717565410922020e+00 1.871042315593468341e+00 2.503580780353072655e+01
1.888024776425047291e+00 1.892065251723732189e+00 2.474887413403031644e+01
1.933926826755502093e+00 1.913088187853995814e+00 2.446750468960329883e+01
1.980424860629050654e+00 1.934111123984259439e+00 2.419155866544803146e+01
2.027520011931642330e+00 1.955134060114523287e+00 2.392089924567973824e+01
2.075213404412767026e+00 1.976156996244786912e+00 2.365539350047973599e+01
2.123506151883623794e+00 1.997179932375050537e+00 2.339491228377542242e+01
2.172399358409360826e+00 2.018202868505314385e+00 2.313933013173541298e+01
2.221894118495613579e+00 2.039225804635578232e+00 2.288852516232483936e+01
2.271991517269582594e+00 2.060248740765842079e+00 2.264237897612541062e+01
2.322692630655850632e+00 2.081271676896105483e+00 2.252107017691869828e+01
